Title,Rooms,Price,Size,Type,Year,Location
2H 60m² Kokkotie 1 Jyväskylä,2H,84000,60,Luhtitalo,2006,Keski-Suomi
Vantaa Vantaanlaakso Sarastuspolku 5 2hksterass,2H,168000,47,Kerrostalo,1989,Uusimaa
2H 485m² Eerikinkatu 43 C Helsinki,2H,425000,48,Kerrostalo,1939,Uusimaa
5H 120m² Kaakontie 4 Akaa,5H,198000,120,Omakotitalo,1987,Pirkanmaa
Helsinki Kallio Viides linja 2 2havokkph yht j,2H,299000,46,Kerrostalo,1914,Uusimaa
3H 88m² Heikkiläntie 6 Helsinki,3H,770000,88,Kerrostalo,1947,Uusimaa
4H 141m² Hollinkalliontie 9 Akaa,4H,209000,141,Omakotitalo,1955,Pirkanmaa
4H 1475m² Maaherrankatu 15 Pori,4H,257000,147,Omakotitalo,1990,Satakunta
Pälkäne Asevelikylä Asevelitie 12 2hkkphwc,2H,76000,62,Rivitalo,1969,Pirkanmaa
3H 104m² Tähdentie 25 Akaa,3H,145000,104,Omakotitalo,1976,Pirkanmaa
5H 975m² Kaupintie 15 Helsinki,5H,349000,97,Kerrostalo,1983,Uusimaa
9H 432m² Päämajankuja 1 Akaa,9H,495000,432,Omakotitalo,1872,Pirkanmaa
1H 25m² Valtakatu 26 A Lappeenranta,1H,86500,25,Kerrostalo,1939,Etelä-Karjala
4H 84m² Martinkatu 15 Turku,4H,275000,84,Kerrostalo,1949,Varsinais-Suomi
3H 515m² Linjaloistonkatu 5 Espoo,3H,239000,51,Kerrostalo,2019,Uusimaa
2H 465m² Kapteeninkatu 30 D Vaasa,2H,189000,46,Kerrostalo,2020,Pohjanmaa
1H 30m² Varisselänkatu 6 B Vaasa,1H,86700,30,Kerrostalo,1950,Pohjanmaa
5H 120m² Rouskurinne 29 Kuopio,5H,238000,120,Omakotitalo,1988,Pohjois-Savo
2H 77m² Sudenkatu 16 Kotka,2H,97000,77,Rivitalo,1920,Kymenlaakso
3H 74m² Sinirikonkuja 6 Vantaa,3H,28146,74,Kerrostalo,1996,Uusimaa
3H 60m² Harava 3 Järvenpää,3H,36762,60,Luhtitalo,2021,Uusimaa
3H 62m² Kivistöntie 4 Mäntsälä,3H,218000,62,Kerrostalo,2016,Uusimaa
1H 305m² Suurpellon puistokatu 10 Espoo,1H,26111,30,Kerrostalo,2018,Uusimaa
2H 62m² Riippakoivuntie 16 Kotka,2H,109500,62,Rivitalo,1981,Kymenlaakso
2H 60m² Kotiopettajankuja 6 c Espoo,2H,185000,60,Rivitalo,1989,Uusimaa
5H 154m² Honkaniitynkatu 2 Lappeenranta,5H,308000,154,Omakotitalo,1998,Etelä-Karjala
Espoo Tapiola Suvikuja 3 3h k kph parveke,3H,349000,75,Kerrostalo,1968,Uusimaa
Turku Länsinummi Schalininkatu 7 4hkkphserill,4H,279000,103,Rivitalo,2008,Varsinais-Suomi
2H 58m² Haapanatie 4 A Vantaa,2H,125000,58,Luhtitalo,1972,Uusimaa
2H 56m² Pasilan puistotie 4 Helsinki,2H,289000,56,Kerrostalo,1983,Uusimaa
Kangasala Keskusta Ruutanantie 1820 4hks,4H,260000,108,Rivitalo,1972,Pirkanmaa
Helsinki Siltamäki Kauriintie 4 3hkp,3H,179000,80,Kerrostalo,1971,Uusimaa
2H 715m² Klemetinkatu 40 A Vaasa,2H,173000,71,Kerrostalo,2013,Pohjanmaa
1H 285m² Sepetlahdentie 1 A Espoo,1H,197000,28,Kerrostalo,2022,Uusimaa
1H 27m² Biblioteksgatan 8 B Vaasa,1H,147000,27,Kerrostalo,2019,Pohjanmaa
5H 131m² Märthantie 26 Tornio,5H,148000,131,Omakotitalo,1983,Lappi
2H 39m² Malturinkatu 2 B Salo,2H,59000,39,Kerrostalo,1963,Varsinais-Suomi
1H 30m² Lumparlankatu 15 F Raisio,1H,54000,30,Kerrostalo,1975,Varsinais-Suomi
2H 705m² Keskustie 23 Pukkila,2H,148000,70,Rivitalo,2000,Uusimaa
Helsinki Pasila Radanrakentajantie 4 2hkkphsla,2H,329000,55,Kerrostalo,2004,Uusimaa
2H 555m² Sauvosaarenkatu 17 Kemi,2H,39900,55,Kerrostalo,1963,Lappi
1H 39m² Yläniementie 2325 Laukaa,1H,57500,39,Rivitalo,1989,Keski-Suomi
5H 1775m² Annankuja 9 Aura,5H,359000,177,Omakotitalo,2006,Varsinais-Suomi
5H 120m² Roantie 10 Tornio,5H,129000,120,Omakotitalo,1974,Lappi
5H 127m² Kaksostie 19 Joensuu,5H,199000,127,Omakotitalo,2003,Pohjois-Karjala
2H 565m² Luhtisentie 2 E Jyväskylä,2H,105000,56,Rivitalo,1977,Keski-Suomi
4H 1115m² Vävypojanpolku 2 Jyväskylä,4H,289000,111,Rivitalo,2023,Keski-Suomi
1H 32m² Merimiehenkatu 17 A Joensuu,1H,84000,32,Kerrostalo,1981,Pohjois-Karjala
3H 585m² Suupantie 6 B Pirkkala,3H,249000,58,Kerrostalo,2010,Pirkanmaa
4H 885m² Kympinkatu 7 Turku,4H,35749,88,Rivitalo,2014,Varsinais-Suomi
Imatra Huhtasenkylä Mäntytie 8 3h k th khh s,3H,96000,94,Omakotitalo,1983,Etelä-Karjala
3H 78m² Kähärintie 57 Turku,3H,249000,78,Omakotitalo,1963,Varsinais-Suomi
6H 146m² Salpakuja 6 Tampere,6H,329000,146,Omakotitalo,1978,Pirkanmaa
2H 445m² Mallaskatu 14 Kaarina,2H,22062,44,Kerrostalo,2014,Varsinais-Suomi
3H 815m² Tuuliviirinkatu 2 A Kaarina,3H,185000,81,Rivitalo,1979,Varsinais-Suomi
6H 151m² Kaasumestarinkatu 3 Seinäjoki,6H,325000,151,Omakotitalo,1971,Etelä-Pohjanmaa
3H 745m² Kartanonranta 2 Jyväskylä,3H,183000,74,Luhtitalo,2006,Keski-Suomi
4H 80m² Kansantie 5 Helsinki,4H,625000,80,Omakotitalo,2022,Uusimaa
1H 34m² Myllyhaantie 4 D Ylöjärvi,1H,98000,34,Rivitalo,1983,Pirkanmaa
3H 89m² Einar Ilmonin tie 2 B 15 Kangasala,3H,399500,89,Kerrostalo,2021,Pirkanmaa
2H 54m² Aatoksenkatu 14 B Jyväskylä,2H,113000,54,Kerrostalo,1982,Keski-Suomi
Vantaa Vantaanpuisto Vantaanrinne 8 4h  k  kph,4H,158000,88,Kerrostalo,1968,Uusimaa
3H 129m² Ojunmäki 2 Hollola,3H,195000,129,Omakotitalo,1975,Päijät-Häme
Riihimäki Koivistonmäki Puistikko 11 3hkkphswc,3H,345600,88,Kerrostalo,2023,Kanta-Häme
